Base	N-Count	sample
13	0.000286129395234	pt1
14	0.000204378139453	pt1
15	2.45253767343e-05	pt1
16	6.54010046248e-05	pt1
17	0.000196203013874	pt1
18	0.0	pt1
19	8.2780860767e-06	pt1
20	0.0	pt1
21	2.59807607271e-05	pt1
22	0.0	pt1
23	2.31756585132e-05	pt1
24	0.0	pt1
25	3.9822302268e-05	pt1
26	5.3796072806e-05	pt1
27	0.0	pt1
28	0.0	pt1
29	0.000126013816155	pt1
30	0.000228484310768	pt1
31	2.97085619779e-05	pt1
32	0.0	pt1
33	5.31431517078e-05	pt1
34	0.0	pt1
35	0.0	pt1
36	0.0	pt1
37	0.0	pt1
38	0.0	pt1
39	0.0	pt1
40	0.0	pt1
41	0.0	pt1
42	0.00201408516895	pt1
43	0.0	pt1
44	0.0	pt1
45	0.0	pt1
46	0.00156840602895	pt1
47	0.0	pt1
48	0.0	pt1
49	0.0	pt1
50	0.0	pt1
51	0.0	pt1
52	0.00433425797503	pt1
53	0.0	pt1
54	0.0	pt1
55	0.0	pt1
56	0.0	pt1
57	0.0	pt1
58	0.0	pt1
59	0.0	pt1
60	0.0	pt1
61	0.0	pt1
62	0.0	pt1
63	0.0	pt1
64	0.0	pt1
65	0.0	pt1
66	0.0	pt1
67	0.0468603561387	pt1
68	0.0	pt1
1	1.03136329148	cc2
2	0.133914830433	cc2
3	0.00569652575666	cc2
4	0.000159343377809	cc2
5	0.0	cc2
6	0.0	cc2
7	3.98358444522e-05	cc2
8	1.32786148174e-05	cc2
9	0.000318686755617	cc2
10	0.0003054081408	cc2
11	0.000119507533357	cc2
12	0.000172621992626	cc2
13	9.29503037218e-05	cc2
14	0.00139425455583	cc2
15	0.0220557792117	cc2
16	0.0112469867503	cc2
17	7.96716889044e-05	cc2
18	0.000163990411481	cc2
19	0.000125323054986	cc2
20	0.0	cc2
21	0.0	cc2
22	0.0	cc2
23	0.0	cc2
24	0.0258089955103	cc2
25	0.00404322575902	cc2
26	0.0	cc2
27	0.0	cc2
28	0.0	cc2
1	1.04433205884	cc4
2	0.0990708199935	cc4
3	0.0155361058626	cc4
4	0.000734735746364	cc4
5	0.0	cc4
6	0.0	cc4
7	0.0	cc4
8	0.0	cc4
9	0.000272563260748	cc4
10	2.37011531085e-05	cc4
11	0.0	cc4
12	0.000130356342097	cc4
13	0.000782138052581	cc4
14	0.00163537956449	cc4
15	0.026983762814	cc4
16	0.00885238068603	cc4
17	0.0	cc4
18	0.0	cc4
19	0.0	cc4
20	0.0	cc4
21	0.0	cc4
22	0.0	cc4
23	4.21532735178e-05	cc4
24	0.0237220093324	cc4
25	0.00124372695218	cc4
26	0.0	cc4
27	0.0	cc4
28	0.0	cc4
1	1.07753536534	ct2
2	0.111518650226	ct2
3	0.0177759278596	ct2
4	0.00228051410944	ct2
5	0.0	ct2
6	0.0	ct2
7	0.0	ct2
8	0.0	ct2
9	1.51027424466e-05	ct2
10	0.0	ct2
11	0.0	ct2
