Quality	Count	sample
20	26924.0	cc4
21	32022.0	cc4
22	35964.0	cc4
23	40703.0	cc4
24	44692.0	cc4
25	46153.0	cc4
26	44487.0	cc4
27	45656.0	cc4
28	50308.0	cc4
29	56426.0	cc4
30	63502.0	cc4
31	72892.0	cc4
32	86869.0	cc4
33	106345.0	cc4
34	137718.0	cc4
35	205884.0	cc4
36	344219.0	cc4
37	626388.0	cc4
38	1347202.0	cc4
39	3809262.0	cc4
40	807348.0	cc4
2	178752.0	ct2
3	3928.0	ct2
4	1959.0	ct2
5	2242.0	ct2
6	3185.0	ct2
7	5264.0	ct2
8	4634.0	ct2
9	3273.0	ct2
10	3285.0	ct2
11	3954.0	ct2
12	4856.0	ct2
13	5576.0	ct2
14	6508.0	ct2
15	7395.0	ct2
16	7974.0	ct2
17	9158.0	ct2
18	11025.0	ct2
19	14266.0	ct2
20	19187.0	ct2
21	22768.0	ct2
22	26098.0	ct2
23	29844.0	ct2
24	33502.0	ct2
25	34826.0	ct2
26	33244.0	ct2
27	34496.0	ct2
28	38572.0	ct2
29	43304.0	ct2
30	48972.0	ct2
31	56494.0	ct2
32	67384.0	ct2
33	83043.0	ct2
34	107771.0	ct2
35	160633.0	ct2
36	268131.0	ct2
37	505967.0	ct2
38	1072723.0	ct2
39	3089079.0	ct2
40	568042.0	ct2
2	161370.0	cc3
3	3612.0	cc3
4	1669.0	cc3
5	1930.0	cc3
6	2659.0	cc3
7	4602.0	cc3
8	3994.0	cc3
9	2838.0	cc3
10	2868.0	cc3
11	3712.0	cc3
12	4370.0	cc3
13	5274.0	cc3
14	6149.0	cc3
15	7135.0	cc3
16	7411.0	cc3
17	8620.0	cc3
18	10427.0	cc3
19	13609.0	cc3
20	18015.0	cc3
21	21885.0	cc3
22	24824.0	cc3
23	27837.0	cc3
24	30681.0	cc3
25	31713.0	cc3
26	30369.0	cc3
27	31271.0	cc3
28	34790.0	cc3
29	38657.0	cc3
30	43809.0	cc3
31	50158.0	cc3
32	59928.0	cc3
33	74187.0	cc3
34	95864.0	cc3
35	142391.0	cc3
36	238594.0	cc3
37	435602.0	cc3
38	917064.0	cc3
39	2609172.0	cc3
40	602286.0	cc3
2	893.0	pc3
3	283.0	pc3
4	108.0	pc3
5	97.0	pc3
6	108.0	pc3
7	160.0	pc3
8	171.0	pc3
9	215.0	pc3
10	302.0	pc3
11	417.0	pc3
12	553.0	pc3
13	593.0	pc3
14	738.0	pc3
15	945.0	pc3
16	1170.0	pc3
17	1653.0	pc3
18	2112.0	pc3
19	2602.0	pc3
20	3499.0	pc3
21	4999.0	pc3
22	7242.0	pc3
23	10659.0	pc3
24	15700.0	pc3
25	23860.0	pc3
26	35588.0	pc3
27	51317.0	pc3
28	71242.0	pc3
29	96110.0	pc3
30	125026.0	pc3
31	157924.0	pc3
32	198458.0	pc3
33	250845.0	pc3
34	335885.0	pc3
35	491202.0	pc3
36	770956.0	pc3
37	1396705.0	pc3
38	2390917.0	pc3
39	7745471.0	pc3
40	1134507.0	pc3
2	1100.0	pc4
3	381.0	pc4
