Tile	Base	Mean	sample
8	10	-0.4908937006207026	ct6
8	11	-0.39025903245617144	ct6
8	12	-0.3951999169130218	ct6
8	13	-0.4392437171081909	ct6
8	14	-0.44017462877579305	ct6
8	15	-0.48511274166970253	ct6
8	16	-0.42350069828362535	ct6
8	17	-0.45574611065340775	ct6
8	18	-0.45730009399752447	ct6
8	19	-0.5221263640280398	ct6
8	20	-0.20749147606945684	ct6
8	21	-0.13055479097619127	ct6
8	22	-0.15748763139112043	ct6
8	23	-0.3648537613375282	ct6
8	24	-0.38142692238203324	ct6
8	25	-0.7580082583110581	ct6
8	26	-0.909482615791994	ct6
8	27	-1.3551159773483974	ct6
8	28	-1.9754222799676313	ct6
9	1	-0.5778255531430077	ct6
9	2	-0.6036297722299793	ct6
9	3	-0.6057443138256815	ct6
9	4	-0.6440985610586907	ct6
9	5	-0.5749585015498795	ct6
9	6	-0.6223408450038264	ct6
9	7	-0.6148748672164004	ct6
9	8	-0.5625127666163365	ct6
9	9	-0.575486360375649	ct6
9	10	-0.5846064108853852	ct6
9	11	-0.48397490238975394	ct6
9	12	-0.5121631862134066	ct6
9	13	-0.5114631859046526	ct6
9	14	-0.5654681394478018	ct6
9	15	-0.5980258570942141	ct6
9	16	-0.5778843777812526	ct6
9	17	-0.5908982396834546	ct6
9	18	-0.5509890484686579	ct6
9	19	-0.5969020985030653	ct6
9	20	-0.2308278376847852	ct6
9	21	-0.19522932822372496	ct6
9	22	-0.19948040827323865	ct6
9	23	-0.13616944640713768	ct6
9	24	-0.5353772250261883	ct6
9	25	-0.5067830001128684	ct6
9	26	-0.6355197316577232	ct6
9	27	0.15353063919295806	ct6
9	28	1.2930651149903554	ct6
10	1	-0.43948477365511707	ct6
10	2	-0.5077077265394152	ct6
10	3	-0.47958505917603134	ct6
10	4	-0.5243790998465698	ct6
10	5	-0.4557234989246908	ct6
10	6	-0.5004583705163483	ct6
10	7	-0.5185590160442857	ct6
